id,department,place,jobName,responsibilities,requirements,mark
,企业中台,杭州、南京,PaaS平台架构师,"1、负责PaaS平台关键特性的系统设计、核心代码开发，指导团队开发
2、对未来技术架构具有前瞻性和规划能力","1、计算机或者相关专业本科及以上学历，五年以上工作经验
2、熟悉分布式系统、集群管理、SOA架构等相关技术
3、熟悉Kubernetes、Mesos、OpenStack、Docker等云计算技术，有5年以上云计算领域架构设计经验
4、熟悉Netflix、EDAS等业界微服务架构，有相关架构设计经验者优先
5、深入理解Kafka、Redis、Nginx、LVS等中间件源码及实现原理，有相关中间件云化改造经验者优先
6、了解国内外主流商业云服务平台如AWS、Azure、ACE、GAE等产品架构和技术者优先",P7-P8
,企业中台,杭州、南京,PaaS平台研发专家,"1、参与基于容器的云平台的架构设计以及核心代码和框架的开发，打造稳定、高效的平台服务
2、参与平台的基础运维工作，工具化，系统化的解决线上问题
3、负责基础开源软件的稳定性，解决线上相关问题
4、充分挖掘客户和业务团队的痛点和需求；与中间件、监控、大数据等团队紧密合作；推动并实现平台服务能力的持续提升，高效的解决问题","1、五年及以上互联网相关领域的设计和开发经验，熟悉常见的 Web 服务架构、分布式系统、微服务等相关技术
2、能够独立负责核心代码的设计和开发以及解决线上疑难问题
3、对 Linux 系统有着深入的理解，具备相应的系统调优能力，熟悉内核者优先
4、熟悉各种网络协议，如：TCP/IP、HTTP、DNS、Protobuf 等，能够熟练使用 tcpdump 等抓包软件分析问题
5、深入理解 MySQL、Redis、Kafka、HAproxy、Nginx 等开源软件的原理或实现，有数据库、中间件相关服务的云化经验者优先
6、至少需要熟悉并掌握以下几种技术之一，深入理解其实现者优先
a. 集群调度管理，如：Mesos、K8S、Swarm、OpenStack 等
b. 分布式存储，如：Glusterfs、Ceph 等
c. 网络技术，如：大二层网络技术、容器网络技术、LVS 等
d. 容器技术，如：Docker、rkt、containerd 等",P7
,企业中台,杭州、南京,企业中台Java研发架构师,"1、负责产品架构设计，基础框架和组件的研发，技术难点攻关和新技术预研
2、分析系统瓶颈，解决各种疑难杂症，对系统进行性能调优
3、承担高并发、高稳定性、复杂业务模型带来的各种挑战及技术难关
4、参与核心架构部分代码编写，对工程师进行技术指导和培训","1、五年以上IT系统架构设计经验，熟悉SaaS、PaaS、移动互联网的开发和架构，有过大型云计算项目或移动互联网项目经验者优先
2、负责过容器化产品改造、有过容器化运维经验者优先
3、同时具备前端、后端的开发经验，对研发支撑产品熟悉者优先
4、有很强的沟通和理解能力，有良好的团队协作精神、环境适应和执行力，在较大压力下保持工作激情",P7
,企业中台,杭州、南京,企业中台通用业务中心架构师,"1、通用服务（用户、消息、支付、配置等）和技术产品的设计与研发
2、深刻理解通用服务在不同业务场景下的需求，合理抽象并实现，保证产品性能、健壮性、扩展性
3、带领团队持续完善和优化产品
4、支撑上层业务线的产品研发
5、关注并培养团队成员成长
6、技术趋势调研和落地","1、五年以上Java领域业务应用研发经验，熟悉 Java 语言与 Java 生态，熟悉 SpringFramework、SpringMVC、SpringBoot 、Mybatis 、Dubbo 等Java 主流框架的使用及其原理和特性
2、熟悉 SQL、NoSQL、Cache、Search 等相关中间件的使用及其特性；有大型分布式、高并发、高性能、高可用系统的设计开发经验；了解前端技术栈更佳
3、精通设计模式，能写出优雅的代码，并能进行高效的重构；强烈的责任心，对代码质量的高要求。注重代码质量，有良好的Test Driven习惯； 参与开源项目更佳
4、熟悉领域建模，能构建优秀的领域模型，以简化业务层的研发复杂度； 有能力设计复杂业务、高并发和大数据量的系统。具备复杂需求及技术的研究能力，善于进行需求分解、技术突破，擅长团队的沟通协作，具备亲和力；
5、熟悉各类云产品，对云计算方向有浓烈兴趣，具备中台系统建设经验者优先考虑
",P7-P8
,企业中台,杭州、南京,能力平台研发专家,"1、负责公司企业中台的能力仓库与能力市场的相关设计与研发
2、深刻理解能力平台的需求和定位, 合理的设计与实现, 以及产品的性能、健壮性、扩展性
3、带领团队持续完善和优化产品, 关注并培养团队成员成长
4、关注相关技术领域, 对技术趋势调研和落地","1、五年以上Java领域业务应用研发经验，熟悉 Java 语言与 Java 生态，熟悉 SpringFramework、SpringMVC、SpringBoot 、SpringCloud 、Mybatis 、Dubbo 等Java 主流框架的使用及其原理和特性
2、熟悉 SQL、NoSQL、Cache、Search 等相关中间件的使用及其特性；有大型分布式、高并发、高性能、高可用系统的设计开发经验；了解前端技术栈更佳
3、精通设计模式，能写出优雅的代码，并能进行高效的重构；强烈的责任心，对代码质量的高要求，注重代码质量，有良好的Test Driven习惯； 参与开源项目更佳
4、熟悉领域建模，能构建优秀的领域模型，以简化业务层的研发复杂度； 有能力设计复杂业务、高并发和大数据量的系统。具备复杂需求及技术的研究能力，善于进行需求分解、技术突破，擅长团队的沟通协作，具备亲和力
5、熟悉各类云产品，对云计算方向有浓烈兴趣，具备中台系统建设经验者优先考虑",P6-P7
,企业中台,杭州,测试平台架构师,"1、负责公司整体测试中台的规划和建设，负责测试中台的产品化能力输出
2、负责公司的整体质量控制体系，自动化到智能化测试体系的建设
3、负责公司产品的整体稳定性，交付质量，研发过程质量
4、带领测试和研发两个团队，建设好可输出可复制的先进的智能化测试平台","1、五年以上互联网及传统行业的开发测试质量控制经验，经历过大型软件或测试平台的研发工作
2、三年以上测试团队管理经验或测试平台搭建经验。能够指导测试团队的工作方式，流程规范。能够指导研发测试平台，质量体系的构建
3、精通测试领域的工具、平台、方法论。精通性能测试，自动化测试，质量控制体系等，在测试领域演进方向上有自己的见解
4、精通研发技能，擅长系统架构，擅长稳定性体系建设，熟悉数据分析算法和机器学习的应用
5、优秀的沟通协调能力，优秀的跨团队跨部门的整合推动能力和落地能力",P8
,企业中台,杭州、南京、青岛,高级测试开发工程师,"1、全面把握产品的功能及非功能需求，设计针对不同产品的质量保障和测试策略 
2、参与产品系统架构建设和规划，进行风险评估，解决设计的可测性及保障系统的稳定性 
3、 进行测试工具、测试技术、测试平台、产品研发测试过程等方面的创新，提升测试效率 
4、全生命周期把控产品实施阶段的集成测试，确保产品高质量上线  
5、测试领域新技术、方法的研究、应用与推广, 提升行业影响力","1、2年以上互联网及传统行业的开发测试质量控制经验，经历过大型软件的研发工作
2、能够独立理解产品需求，根据需求设计自动化计划、用例等；具备接口测试，接口自动化设计实现能力
3、有较强的分析设计能力，测试框架研发和方案整合能力；具备测试架构设计和实现能力，有复杂系统分析和设计经验
4、优秀的代码实现能力，精通C/C++, JAVA, Python等编程语言之一，并有实际项目代码经验
5、逻辑能力强、思维活跃，接受新事物能力强； 责任心强，积极主动，善于沟通，良好的团队合作能力",P6
,企业中台,杭州、南京,高级前端开发工程师,"1、完善公司产品（电商、供应链、大数据），功能设计与实现，文档编写
2、基于公司产品为客户进行实施，部分定制功能的设计与实现
3、 参与公司产品的发展与规划","1、三年以上工作经验（含）
2、熟悉 html5、css3、es6/7、TypeScript，熟悉前端生态圈，体系化的前端知识
3、 熟悉前端组件化和模块化机制
4、熟悉 MVC、MVVM 概念，有 React 或 Vue 实际开发经验
5、有任意后端技术栈研发经验
6、执着像素级还原，对创造优越的交互有成就感
7、强烈的责任心，对代码质量的高要求
8、使用过 react-native 更佳
9、参与开源项目更佳",P6
,企业中台,杭州、南京,前端技术专家/高级前端技术专家,"1、负责前端团队的横向管理，带领前端团队成长
2、大前端基础设施、研发体系的选型、制定和研发，持续优化研发体验和研发效率
3、与中台团队一起尝试解决大型软件组件化、差异化交付和管理的问题     
4、技术趋势调研和落地","1、大型复杂业务系统前端整体架构实现落地经验
2、中型团队管理经验   
3、精通 React 生态，深入理解生态相关工具、库和方案的原理与优缺点
4、熟悉前端其它生态圈、主流前端和移动端解决方案，体系化的前后端知识
5、熟悉 nodejs ，同时熟悉任意一种非 nodejs 后端技术栈
6、强烈的责任心，乐于分享和帮助他人
7、对新技术敏感，有前瞻性，关注社区动态和技术趋势
",P7-P8
,企业中台,杭州,数据分析师,"1、负责面向企业客户的大数据产品及行业数据应用解决方案的设计、规划和落地
2、 根据业务需求，制定用户相关数据的采集策略，设计、建立、测试相关的数据模型，从而实现从数据中提取数据价值，撰写分析报告；并跟踪分析客户业务数据，为客户提供决策支持
3、 调研不同行业的企业客户，深度挖掘利用大数据帮助客户优化企业经营链路的场景点 
4、完成需求分析、样本抽样、模型构建、指标定义以及相关文档编写
5、主导产品设计，配合研发团队将分析结果落地实施","1、本科及以上学历，扎实的数据分析基础
2、有3年以上电商、零售或供应链相关数据分析经验；有数据平台 / 数据产品设计经验者为佳
3、具备较强的数据分析能力、解决方案编制、逻辑思维能力、沟通能力，能够有效整合团队资源推动业务发展
4、有很强的产品 owner 意识，良好的自我管理能力、环境适应能力和执行力，能较大压力下保持工作激情
5、加分项：有丰富的产品设计和项目管理经验，并可以熟练使用 Axure 等工具进行产品的原型设计，具备 SQL 等技术开发经历或有数据平台产品经理从业经验",p6
