code,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122015.SH,09长电债,1942.08(20180930),1648.08(20180630),1814.35(20180331),1714.35(20170930),1664.35(20170630),1649.35(20170331),1573(20160331),1553(20151231),1398(20150930),1520(20150331),1520(20141231),1260(20140930),1260(20140331),1260(20131231),1260(20130930),1260(20130630),1240(20130331),1210(20120930),1225(20120331),973.6(20110930),973.6(20110331),928.6(20091231),928.6(20090930),853.4(20090331),530(20071231),400(20051227),,,,,,,,,,,,,,,,,
122017.SH,09大唐债,3978.81(20180331),3974.67(20170930),4202.31(20160331),2478.76(20140630),4251.42(20131231),4245.47(20130930),3027.01(20120630),2997.3(20111231),2894.15(20101231),381.6(20081231),1240(20080930),1240(20080331),1100(20061231),1060.05(20051231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122019.SH,09中交G2,10498(20180930),15691.8(20180331),13283.4(20160930),11765.95(20151231),9327.5(20141231),9188(20140930),7520(20121231),7520(20120930),5139(20120331),4535.18(20091231),1868.92(20081231),1340.72(20071231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122046.SH,10中铁G2,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
122052.SH,10石化02,3618.52(20171231),2563.75(20161231),3346.41(20160630),2979.97(20151231),2993.19(20150630),3025.7(20141231),2991.23(20140630),2891.06(20131231),1977(20121231),1705(20111231),1705(20110930),1675(20100930),1595(20091231),1804(20090930),1850(20090331),1850(20080930),1635(20071017),1000(20051019),,,,,,,,,,,,,,,,,,,,,,,,,
122054.SH,10中铁G3,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
122055.SH,10中铁G4,12044.427844(20180930),12044.427844(20180630),11382.75(20180331),11119.85(20171231),11054.1(20170331),11054.1(20161231),10552.3(20160331),10552.3(20151231),10222.7(20150930),9637.85(20140930),8739(20140331),8455(20131231),8433(20130930),8545(20130331),7106(20120331),6733(20111011),6568(20110315),5681(20100630),4039(20100331),3333.57(20081231),300(20051231),,,,,,,,,,,,,,,,,,,,,,
122057.SH,10龙源02,2689(20180930),2689(20180630),2000(20171231),1990(20170930),1990(20170630),2000(20170331),2000(20161231),2000(20160630),2000(20160331),2000(20150930),2000(20150630),2000(20150331),1600(20140930),1600(20140331),1560(20131231),2000(20121231),289.5(20111231),1000(20091231),309.59(20090331),,,,,,,,,,,,,,,,,,,,,,,,
122062.SH,11西矿02,215.191(20171231),212.55(20170331),208.76(20161231),127(20160331),205.5(20151231),237.37696(20151201),252.84(20150930),237.38(20150630),182(20141231),189.85(20131231),185(20121231),165.5(20111231),229(20101231),170.5(20100630),165.5(20090930),133.5(20081231),42.23(20051231),,,,,,,,,,,,,,,,,,,,,,,,,,
122064.SH,11龙源02,2689(20180930),2689(20180630),2000(20171231),1990(20170930),1990(20170630),2000(20170331),2000(20161231),2000(20160630),2000(20160331),2000(20150930),2000(20150630),2000(20150331),1600(20140930),1600(20140331),1560(20131231),2000(20121231),289.5(20111231),1000(20091231),309.59(20090331),,,,,,,,,,,,,,,,,,,,,,,,
122066.SH,11大唐01,3978.81(20180331),3974.67(20170930),4202.31(20160331),2478.76(20140630),4251.42(20131231),4245.47(20130930),3027.01(20120630),2997.3(20111231),2894.15(20101231),381.6(20081231),1240(20080930),1240(20080331),1100(20061231),1060.05(20051231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122071.SH,11海航02,1004.75(20180930),934.91(20180630),961.32(20171231),1199.74(20170930),1172.93(20170630),1153.05(20170331),834.29(20161231),1020(20160930),916.35(20151231),969.64(20150930),918.37(20141231),834.23(20140930),754(20131231),678.43(20130630),532.83(20130331),597.01(20101231),,,,,,,,,,,,,,,,,,,,,,,,,,,
122072.SH,11大连港,320.38681(20180331),339.3(20171231),240.05(20161231),227.9(20160331),229.65(20151231),229.65(20150930),236.15(20150630),234.7(20150331),229.1(20141231),231.072(20140630),216.9(20131231),168.16(20130331),168.16(20121231),178.98(20111231),163.6(20110331),246.37(20101231),57.9318(20081231),,,,,,,,,,,,,,,,,,,,,,,,,,
122075.SH,11柳钢债,272.72(20171231),325.35(20161231),387.95(20151231),223.5(20110331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122077.SH,11西钢债,96.96(20171231),96.96(20161231),103.37(20151231),99.95(20141231),67.6(20131231),66.12(20120331),67.77(20101231),63.555(20100630),56.3775(20090930),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122087.SH,11凌钢债,51.37(20180331),60.87(20170331),71.67(20151231),77.69(20141231),66.13(20131231),68.05(20130331),50.02(20111231),33.13(20110331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122093.SH,11中孚债,94.4(20171231),92.313(20170630),95.04(20170331),99.928(20160630),99.73(20151231),91.19(20150331),148.4(20140331),153.69(20120331),113.56(20110331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
